nom,type,lat,lon
émile zola OM 3,ordures,43.39183801170705,3.099437355995178
émile zola OM  1,ordures,43.39183216444398,3.099308609962464
imp.Guilhem OM 1,ordures,43.39217715200802,3.098857998847962
championnet OM 1,ordures,43.39284568164096,3.098058700561524
A.Gibaudan OM 2,ordures,43.39330175884986,3.098560273647309
imp.montaigne OM 2,ordures,43.39302694350677,3.099464178085327
barbaroux OM 2,ordures,43.39277161749676,3.099724352359772
vergniaud OM 4,ordures,43.39255916984416,3.100228607654572
pasteur OM 2,ordures,43.39191792424784,3.1018298864364624
condorcet OM 3,ordures,43.39275212691745,3.1020873785018925
hoche  OM 4,ordures,43.393159478721415,3.1009662151336674
camille desmoulin OM 2,ordures,43.39313803922104,3.1004378199577336
camille desmoulin OM 2,ordures,43.39330370789039,3.099804818630219
mirabeau OM 2,ordures,43.39264103049575,3.1030905246734624
ampère OM 2,ordures,43.3932082048304,3.101478517055512
arago om 3,ordures,43.39432694551682,3.100684583187104
république om 3,ordures,43.39235841587333,3.101454377174378
imp.montmajou om 1,ordures,43.39508510472908,3.091693818569184
imp.montmajou cs 1,recyclage,43.395073410828665,3.0917286872863774
rouget.lisle OM 1,ordures,43.39206800361256,3.100636303424836
voltaire OM 2,ordures,43.39160606983395,3.102559447288513
voltaire CS 3,recyclage,43.39158073159232,3.102551400661469
mimosas OM 1,ordures,43.38948931559004,3.1060302257537846
mimosas cs 1,recyclage,43.38947177311892,3.1059953570365906
J.jaurès OM 1,ordures,43.389058548997696,3.106719553470612
J.jaurès CS 1,recyclage,43.38902931133524,3.106703460216522
mistral CS 1,recyclage,43.39541448199681,3.099244236946106
mistral verre 1,verre,43.39536575766173,3.09926301240921
mistral papier 1,papier,43.39534042099203,3.0992361903190617
pont verre 1,verre,43.39785844437568,3.094848096370697
bart verre 1,verre,43.39258840580382,3.0974578857421875
bart CS 1,recyclage,43.39255722077966,3.097498118877412
bart papier 1,papier,43.392541628261554,3.0975463986396794
traucat1 verre 1,verre,43.39326082898411,3.096867799758911
traucat2 verre 1,verre,43.39117142006776,3.0972754955291752
annatol-france verre 1,verre,43.38894159826321,3.0993193387985234
klebert CS 2,recyclage,43.39614339337234,3.101529479026795
klebert verre 1,verre,43.39612585282721,3.1015831232070927
klebert papier 1,papier,43.39611221017751,3.1016340851783752
michelet verre 1,verre,43.38971151978464,3.1027606129646306
stade CS 1,recyclage,43.38971541809655,3.105461597442627
stade verre 1,verre,43.38970567231626,3.105426728725434
fialouse verre 1,verre,43.38771360192721,3.1058746576309204
mazel verre 1,verre,43.386598637673714,3.1004914641380314
mazel CS 1,recyclage,43.38657134808174,3.10052901506424
mazel papier 1,papier,43.38652846441234,3.1005612015724187
H.hugo verre 1,verre,43.39192182241784,3.105179965496064
19 mars verre 1,verre,43.39237205936814,3.105871975421906
19 mars CS 1,recyclage,43.3924032444876,3.1059578061103825
19 mars papier 1,papier,43.39232917980268,3.105815649032593
19 mars verre 1,verre,43.39133124680155,3.108717799186707
jean moulin verre 1,verre,43.389403552349656,3.10851663351059
mendes verre 1,verre,43.38659473916133,3.1146320700645447
lagasse verre 1,verre,43.389559485423696,3.114929795265198
